#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::04 - N2 Grammar::Cloze
#
そのことを言わずに {{c1::はすまない}}。	そのことをいわずに {{c1::はすまない}}。	Cannot help but mention that — Inevitable	[sound:5f5d26bed49c.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro source:shin-kanzen
この問題に対応 {{c1::せずにはすまない}}。	このもんだいにたいおう {{c1::せずにはすまない}}。	Must deal with this issue — Unavoidable	[sound:e61c8c769a9a.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:low source:shin-kanzen
彼は必ず来るに {{c1::違いない}}。	かれはかならずくるに {{c1::ちがいない}}。	He is definitely coming — Strong conviction	[sound:ce713dbef722.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
結果は明日 {{c1::わかるはずだ}}。	けっかはあした {{c1::わかるはずだ}}。	Result should be clear tomorrow — Expected	[sound:9726a9903fc0.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
その計画は成功するは {{c1::ずがない}}。	そのけいかくはせいこうするは {{c1::ずがない}}。	That plan cannot succeed — Negated expectation	[sound:ae0c4149602b.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
彼女は怒っているに {{c1::違いない}}。	かのじょはおこっているに {{c1::ちがいない}}。	She must be angry — Firm conviction	[sound:99a1108fef5e.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
あなたは疲れているは {{c1::ずです}}。	あなたはつかれているは {{c1::ずです}}。	You must be tired — Expected state	[sound:24e28ef9fce1.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
彼は医者に {{c1::なるべきだ}}。	かれはいしゃに {{c1::なるべきだ}}。	He should become a doctor — Recommendation	[sound:fb54bca4439d.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
そんなことをするべきで {{c1::はない}}。	そんなことをするべきで {{c1::はない}}。	Should not do such a thing — Prohibition	[sound:72d7acfe5f66.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:standard source:shin-kanzen
毎日運動 {{c1::すべきだ}}。	まいにちうんどう {{c1::すべきだ}}。	Should exercise daily — Health obligation	[sound:2461e8b91ff5.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
これ以上待つべきで {{c1::はない}}。	これいじょうまつべきで {{c1::はない}}。	Should not wait any longer — Time warning	[sound:c1b16971fc8e.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
社会人はマナーを守る {{c1::べきだ}}。	しゃかいじんはまなーをまもる {{c1::べきだ}}。	Adults should observe etiquette — Social norm	[sound:1c79e85a40e0.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
試験に合格するつもり {{c1::だ}}。	しけんにごうかくするつもり {{c1::だ}}。	I intend to pass the exam — Intention	[sound:3cf850289dd3.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
来月引っ越す {{c1::つもりです}}。	らいげつひっこす {{c1::つもりです}}。	Plan to move next month — Future plan	[sound:2746b867c0d5.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
別に悪意があるつもりは {{c1::ない}}。	べつにあくいがあるつもりは {{c1::ない}}。	No ill intentions — Negated intent	[sound:e5458f2d0a20.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:standard frequency:top10k source:shin-kanzen
彼女を傷つけるつもりは {{c1::なかった}}。	かのじょをきずつけるつもりは {{c1::なかった}}。	Never intended to hurt her — Past non-intent	[sound:4e992ee9ebf4.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:standard frequency:top10k source:shin-kanzen
それは手伝うつもり {{c1::だったのに}}。	それはてつだうつもり {{c1::だったのに}}。	Was trying to help with that — Thwarted attempt	[sound:b63c1b1a95c4.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
何も言う {{c1::べくもない}}。	なにもいう {{c1::べくもない}}。	Cannot possibly speak — Speechlessness	[sound:fbcfd6a6f20a.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top1k source:shin-kanzen
彼が助けてくるもの {{c1::か}}。	かれがたすけてくるもの {{c1::か}}。	As if he would help! — Vehement denial	[sound:368c49fd8e47.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:low source:shin-kanzen
そんなことできるもの {{c1::か}}。	そんなことできるもの {{c1::か}}。	No way I could do that! — Emphatic rejection	[sound:e15e91d38065.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro source:shin-kanzen
止めようが {{c1::ない}}。	とめようが {{c1::ない}}。	Cannot stop it — Unstoppable	[sound:133a70ce75a4.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro source:shin-kanzen
説得しようがない状態 {{c1::だ}}。	せっとくしようがないじょうたい {{c1::だ}}。	In state where persuasion impossible — Resistance	[sound:85c652fb4f66.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:low source:shin-kanzen
どうしようもなく {{c1::悲しい}}。	どうしようもなく {{c1::かなしい}}。	Helplessly sad — Uncontrollable emotion	[sound:dfdeefdab5e9.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
仕事の後で会社に寄る {{c1::べく}}家を出た。	しごとのあとでかいしゃによる {{c1::べく}}いえをでた。	Left home intending to stop by company — Purposeful	[sound:23bd6a1f9820.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:standard frequency:top10k source:shin-kanzen
問題を解決 {{c1::すべく}}専門家を招待した。	もんだいをかいけつ {{c1::すべく}}せんもんかをしょうたいした。	Invited expert to solve problem — Solution purpose	[sound:9c01f96b5405.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:standard frequency:top10k source:shin-kanzen
