#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition
#
彼の努力からこそ、成功した。	かれのどりょくからこそ、せいこうした。	Precisely because of his effort, he succeeded.	からこそ (precisely because)	V/N + からこそ	Formal emphasis of causal reason	Emphasis — because of X specifically	から: plain reason	[sound:0e9ec9d548e6.mp3]	module:04-n2 jlpt:n2 point:formal-causal
学生であるからには、勉強に専念すべきだ。	がくせいであるからには、べんきょうにせんねんすべきだ。	If one is a student, one should dedicate oneself to study.	からには	Copula + からには	Formal obligation	If X, then should Y	から: plain reason	[sound:c422156fd696.mp3]	module:04-n2 jlpt:n2 point:formal-causal
約束したからには、最後までやり遂げよう。	やくそくしたからには、さいごまでやりとげよう。	If I promised, I should see it through to the end.	からには	V + からには	Formal obligation	If promised, must complete	から: plain reason	[sound:643af8441e31.mp3]	module:04-n2 jlpt:n2 point:formal-causal
医者であるからには、患者を救う責任がある。	いしゃであるからには、かんじゃをすくうせきにんがある。	If one is a doctor, one has the responsibility to save patients.	からには	Copula + からには	Formal obligation	If X profession, then duty Y	から: plain reason	[sound:fb43ed8caa0d.mp3]	module:04-n2 jlpt:n2 point:formal-causal
リーダーであるからには、判断力が必要だ。	りーだーであるからには、はんだんりょくがひつようだ。	If one is a leader, judgment is necessary.	からには	Copula + からには	Formal requirement	If X position, then needs Y	から: plain reason	[sound:25f7f719df8e.mp3]	module:04-n2 jlpt:n2 point:formal-causal
彼の病気ということから、欠席した。	かれのびょうきということから、けつせきした。	From the fact that he is ill, he was absent.	ことから (from the fact that)	N + ことから	Formal inference from fact	From the fact of X, result Y	から: plain reason	[sound:b546024907ba.mp3]	module:04-n2 jlpt:n2 point:formal-causal
事故が起きたことから、安全対策が強化された。	じこがおきたことから、あんぜんたいさくがきょうかされた。	From the fact that an accident occurred, safety measures were strengthened.	ことから	V + ことから	Formal consequence	From incident X, followed by Y	から: plain reason	[sound:16d293b40bc5.mp3]	module:04-n2 jlpt:n2 point:formal-causal
需要が増えたことから、生産を拡大した。	じゅようがふえたことから、せいさんをかくだいした。	From increased demand, production was expanded.	ことから	V + ことから	Formal reason for action	From increase in X, did Y	から: plain reason	[sound:59b573f61ede.mp3]	module:04-n2 jlpt:n2 point:formal-causal
予算が不足したことから、計画を修正した。	よさんがふそくしたことから、けいかくをしゅうせいした。	From the budget shortfall, the plan was revised.	ことから	V + ことから	Formal reason	From shortage of X, changed Y	から: plain reason	[sound:ca10e353846c.mp3]	module:04-n2 jlpt:n2 point:formal-causal
技術が進化したことから、新製品が開発できた。	ぎじゅつがしんかしたことから、しんせいひんがかいはつできた。	From technological advancement, new products could be developed.	ことから	V + ことから	Formal enabling cause	From progress in X, enabled Y	から: plain reason	[sound:58187fa5bc55.mp3]	module:04-n2 jlpt:n2 point:formal-causal
経験のところから、申し上げます。	けいけんのところから、もうしあげます。	Speaking from experience, I say...	ところから (from the vantage point)	N + ところから	Formal perspective marker	From the standpoint of X	から: plain reason	[sound:0567013886ac.mp3]	module:04-n2 jlpt:n2 point:formal-causal
統計データのところから見ると、明らかな傾向がある。	とうけいでーたのところからみると、あきらかなけいこうがある。	Looking from the standpoint of statistics, there is a clear trend.	ところから	N + ところから	Formal perspective	From viewpoint of X, see Y	から: plain reason	[sound:2f08cb30a590.mp3]	module:04-n2 jlpt:n2 point:formal-causal
法律のところから考えると、その行為は違法だ。	ほうりつのところからかんがえると、そのこういはいほうだ。	Considering from a legal standpoint, that act is illegal.	ところから	N + ところから	Formal standpoint	From legal angle, this is Y	から: plain reason	[sound:09b9169024b6.mp3]	module:04-n2 jlpt:n2 point:formal-causal
実務のところから言えば、効率が第一である。	じつむのところからいえば、こうりつがだいいちである。	Speaking from a practical standpoint, efficiency comes first.	ところから	N + ところから	Formal perspective	From practical view, priority is Y	から: plain reason	[sound:e1f12bc22e6d.mp3]	module:04-n2 jlpt:n2 point:formal-causal
歴史のところから学ぶべきことは多い。	れきしのところからまなぶべきことはおおい。	There is much to learn from a historical perspective.	ところから	N + ところから	Formal source of learning	From history, should learn Y	から: plain reason	[sound:cc5d1de1a8d7.mp3]	module:04-n2 jlpt:n2 point:formal-causal
才能があるからこそ、責任も大きい。	さいのうがあるからこそ、せきにんもおおきい。	Precisely because of talent comes great responsibility.	からこそ	N + からこそ	Formal emphasis	With power comes responsibility	から: plain reason	[sound:6b7686f468b3.mp3]	module:04-n2 jlpt:n2 point:formal-causal
条件が満たされているからといって、成功は保証されない。	じょうけんがみたされているからといって、せいこうはほしょうされない。	Even if conditions are met, success is not guaranteed.	からといって	V + からといって	Formal negation of guarantee	Meeting X doesn't guarantee Y	から: plain reason	[sound:e3dfd2ea1892.mp3]	module:04-n2 jlpt:n2 point:formal-causal
風邪を引いたからして、仕事は休まなければならない。	かぜをひいたからして、しごとはやすまなければならない。	Given that I caught a cold, I must take off work.	からして	V + からして	Formal inference	From catching cold, must rest	から: plain reason	[sound:7ef97fc174be.mp3]	module:04-n2 jlpt:n2 point:formal-causal
プロであるからには、結果が求められる。	ぷろであるからには、けっかがもとめられる。	If one is a professional, results are expected.	からには	Copula + からには	Formal expectation	Professional status requires Y	から: plain reason	[sound:82f6f4f55bd2.mp3]	module:04-n2 jlpt:n2 point:formal-causal
参加を表明したことから、責任が生じた。	さんかをひょうめいしたことから、せきにんがしょうじた。	From announcing participation, responsibility arose.	ことから	V + ことから	Formal consequence	From declaration, responsibility Y	から: plain reason	[sound:cadb002cfce4.mp3]	module:04-n2 jlpt:n2 point:formal-causal
