#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition
#
この理論は医学分野に過ぎない。	このりろんはいがくぶんやにすぎない。	This theory is nothing more than medical field.	Limited application	に過ぎない	Mere limitation	Narrow scope	に限る	[sound:7528d52fc194.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
それは推測に過ぎません。	それはすいそくにすぎません。	That is merely a guess.	Conjecture qualification	に過ぎない	Unproven claim	Speculation	に限る	[sound:a0a7f643d47d.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:intro frequency:low source:shin-kanzen
外見に過ぎない判断をしてはいけない。	がいけんにすぎないはんだんをしてはいけない。	You should not judge based on mere appearance.	Superficial judgment	に過ぎない	Surface-level	Appearance context	に限る	[sound:abd3a4f6fa1e.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
彼の行動は利己心に他ならない。	かれのこうどうはりこしんにほかならない。	His actions are nothing but self-interest.	Definition assertion	に他ならない	Exact characterization	Motivation	に過ぎない	[sound:8652586cb3a2.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
それは裏切りに他ならない。	それはうらぎりにほかならない。	That is nothing but betrayal.	Character assertion	に他ならない	Essential nature	Judgment context	に過ぎない	[sound:98509368c1f8.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
この成功は努力の結果に他ならない。	このせいこうはどりょくのけっかにほかならない。	This success is the result of effort (nothing else).	Causal assertion	に他ならない	Necessary consequence	Success cause	に過ぎない	[sound:ac7221c38992.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
彼の言葉は事実に他ならない。	かれのことばはじじつにほかならない。	His words are nothing but facts.	Truth assertion	に他ならない	Absolute truth	Veracity context	に過ぎない	[sound:95c8b5bba55b.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
いうまでもなく品質が最優先。	いうまでもなくひんしつがさいゆうせん。	Needless to say, quality is the top priority.	Obvious fact	いうまでもなく	Self-evident truth	Priority context	に限らず	[sound:fbdbef93848d.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
申し上げるまでもなく、これは重要です。	もうしあげるまでもなく、これはじゅうようです。	I need not mention that this is important.	Implicit understanding	申し上げるまでもなく	Formal obviousness	Importance context	いうまでもなく	[sound:9fb1ffeccabe.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
別として、基本的な知識は必要。	べつとして、きほんてきなちしきはひつよう。	Apart from that, basic knowledge is necessary.	Exclusion clause	別として	Exception setting	Qualification context	に限られる	[sound:77d062146625.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
成功するかは別として、努力は認める。	せいこうするかはべつとして、どりょくはみとめる。	Apart from whether it succeeds, I acknowledge the effort.	Conditional recognition	は別として	Separated consideration	Merit context	に限らず	[sound:19d18be0b42b.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
国籍は別として、全員参加できる。	こくせきはべつとして、ぜんいんさんかできる。	Regardless of nationality, everyone can participate.	Exclusion of factor	は別として	Irrelevant factor	Inclusion context	に限られる	[sound:960938812291.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
価格が問題である。とはいえ品質は良い。	かかくがもんだいである。とはいえひんしつはよい。	The price is a problem. That said, the quality is good.	Concession	とはいえ	Qualified agreement	Balance context	ただし	[sound:56cd3396e3ef.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
失敗する可能性がある。もっとも、確率は低い。	しっぱいするかのうせいがある。もっとも、かくりつはひくい。	There is a possibility of failure. However, the probability is low.	Qualified concern	もっとも	Formal concession	Risk mitigation	ただし	[sound:060ba1bd1a19.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
計画は厳しい。さはさりながら、実行可能。	けいかくはきびしい。さはさりながら、じっこうかのう。	The plan is strict. Nevertheless, it is feasible.	Formal concession	さはさりながら	Archaic concession	Feasibility context	とはいえ	[sound:65e701fa1387.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
