#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Recognition

長い交渉の挙句、合意に達した。	ながいこうしょうのあげく、ごういにたっした。	After long negotiations, an agreement was reached.	あげく (in the end)	N + の + あげく	Formal result after long process	After a long X, finally Y	すえに: similar formal result	[sound:befb670f88e0.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
知識ばかりでなく、経験も必要だ。	ちしきばかりでなく、けいけんもひつようだ。	Not just knowledge but experience is also necessary.	ばかりでなく	N + ばかりでなく	Formal additive	Not only X but also Y	ばかりか: similar form	[sound:4b128388f6ac.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
日本でばかりでなく、海外でも人気がある。	にほんでばかりでなく、かいがいでもにんきがある。	Popular not only in Japan but also overseas.	ばかりでなく	N + ばかりでなく	Formal additive	Not just X but Y too	ばかりか: similar form	[sound:4920424faf8f.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
言うばかりでなく、実行することも大切だ。	いうばかりでなく、じっこうすることもたいせつだ。	It's important not just to say but also to act.	ばかりでなく	V + ばかりでなく	Formal additive	Not just talk but action Y	ばかりか: similar form	[sound:b45b8c664588.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
上手なことはおろか、下手すぎる。	じょうずなことはおろか、へたすぎる。	Far from being good, it's too poor.	どころか (far from; rather)	N + どころか	Formal negation + contrast	Far from X, actually Y	ばかりか: similar additive	[sound:37a4907fe078.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top1k source:shin-kanzen
成功どころか、失敗してしまった。	せいこうどころか、しっぱいしてしまった。	Far from succeeding, he failed.	どころか	N + どころか	Formal negation	Far from X, instead Y	ばかりか: similar additive	[sound:321e1ff2af99.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
助けどころか、邪魔をした。	たすけどころか、じゃまをした。	Far from helping, he got in the way.	どころか	N + どころか	Formal negation	Rather than help, hindered	ばかりか: similar additive	[sound:4e701ed33af7.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:intro frequency:low source:shin-kanzen
改善どころか、さらに悪くなった。	かいぜんどころか、さらにわるくなった。	Far from improving, it got worse.	どころか	N + どころか	Formal negation	Instead of improvement, Y	ばかりか: similar additive	[sound:bbcd7c67e56b.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
解決どころか、問題が増えた。	かいけつどころか、もんだいがふえた。	Far from solving, the problem increased.	どころか	N + どころか	Formal negation	Far from solving, worsened Y	ばかりか: similar additive	[sound:80c222b62640.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
彼は元気どころではない。	かれはげんきどころではない。	He is far from being well.	どころではない (far from; not in condition to)	N + どころではない	Formal negation of condition	Not in state to do X	どころか: related negation	[sound:8c4e29e25ab6.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:intro frequency:top5k source:shin-kanzen
仕事どころではなく、病気で苦しんでいる。	しごとどころではなく、びょうきでくるしんでいる。	Far from working, he's suffering from illness.	どころではない	N + どころではない	Formal negation of ability	Can't do X due to Y	どころか: related negation	[sound:a5dca5cb1b99.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
笑うどころではない深刻な状況だ。	わらうどころではないしんこくなじょうきょうだ。	It's far too serious a situation to laugh about.	どころではない	V + どころではない	Formal negation	Far from laughing, serious Y	どころか: related negation	[sound:5920a2b76294.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
遊ぶどころではなく、勉強に集中すべきだ。	あそぶどころではなく、べんきょうにしゅうちゅうすべきだ。	Far from playing, one should focus on studying.	どころではない	V + どころではない	Formal prohibition	Can't play, must focus on Y	どころか: related negation	[sound:f7815b2a900c.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
余裕があるどころではなく、逼迫している。	よゆうがあるどころではなく、ひっぱくしている。	Far from having room, we're pressed for time.	どころではない	N + どころではない	Formal negation	No room, actually pressed for Y	どころか: related negation	[sound:587a476a938a.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
