#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::05 - N1 Grammar::Production

If that's correct, countermeasures are needed.	V-plain/N + とすると / とすれば	そのとうりだとすれば、たいさくがひつようだ。	その通りだとすれば、対策が必要だ。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:31474aeb2599.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:low source:shin-kanzen sense:conditional-alternatives
If he doesn't come, who will host?	V-plain/N + とすると / とすれば	かれがこないとすれば、だれがしかいをするのか。	彼が来ないとすれば、誰が司会をするのか。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:075e3fe7c243.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:low source:shin-kanzen sense:conditional-alternatives
If this is the last, let's do it without regrets.	V-plain/N + とすると / とすれば	これがさいごだとすれば、こうかいのないようにしよう。	これが最後だとすれば、後悔のないようにしよう。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:cca2fd7702f2.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Whether single or married, you can be happy.	N + であれ / V-plain + であれ	どくであれ、きこんであれ、しあわせになれる。	独であれ、既婚であれ、幸せになれる。	Distributive condition — 'whether...or' listing alternatives	[sound:b83ff1184864.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:low source:shin-kanzen sense:conditional-alternatives
Whether work or hobby, you should give your all.	N + であれ / V-plain + であれ	しごとであれ、しゅみであれ、ぜんりょくをつくすべき。	仕事であれ、趣味であれ、全力を尽くすべき。	Distributive condition — 'whether...or' listing alternatives	[sound:010cc3bf3858.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:low source:shin-kanzen sense:conditional-alternatives
Even if I struggle, I want to achieve my goal.	N + であろうとも / Adj + であろうとも	くろうするであろうとも、もくひょうをたっせいしたい。	苦労するであろうとも、目標を達成したい。	Formal concessive — 'even if/though' — despite difficulty	[sound:63b764084746.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:low source:shin-kanzen sense:conditional-alternatives
Even if opposed, I'll proceed.	N + であろうとも / Adj + であろうとも	はんたいされるであろうとも、すすめる。	反対されるであろうとも、進める。	Formal concessive — 'even if/though' — despite difficulty	[sound:9a64fb67dedd.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
If it's raining, the game is cancelled.	V-plain + とあれば / N + とあれば	あめだとあれば、しあいはちゅうしだ。	雨だとあれば、試合は中止だ。	Conditional on specific situation — 'if such a thing were'	[sound:5776663eabe4.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
If such things happen, caution is needed.	V-plain + とあれば / N + とあれば	こんなことがあるとあれば、ちゅういがひつようだ。	こんなことがあるとあれば、注意が必要だ。	Conditional on specific situation — 'if such a thing were'	[sound:d1b22cf47e5f.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
If such a thing happened, it would be serious.	V-plain + ものなら	そんなことがあるものなら、たいへんだ。	そんなことがあるものなら、大変だ。	Defiant conditional — 'if you dare / if it were so' — challenge	[sound:84ac342afab5.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top1k source:shin-kanzen sense:conditional-alternatives
If you're going to say that, try it.	V-plain + ものなら	そういうものなら、ちょうせんしてみて。	そう言うものなら、挑戦してみて。	Defiant conditional — 'if you dare / if it were so' — challenge	[sound:ae473fc07855.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
If he says it, it's credible.	V-plain + ものなら	かれがいうものなら、しんようできる。	彼が言うものなら、信用できる。	Defiant conditional — 'if you dare / if it were so' — challenge	[sound:6b9982f56ccb.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Once you fail, there's no going back.	V-ta + ら最後 / V-plain + が最後	しっぱいしたらさいご、もうもどれない。	失敗したら最後、もう戻れない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:3a8923218367.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once you start speaking, you can't stop.	V-ta + ら最後 / V-plain + が最後	くちをひらいたらさいご、やめられない。	口を開いたら最後、止められない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:64e5e55c5a98.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once decided, it can't be changed.	V-ta + ら最後 / V-plain + が最後	きめたがさいご、へんこうできない。	決めたが最後、変更できない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:8cfc8365397a.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:low source:shin-kanzen sense:conditional-alternatives
Once started, it continues to the end.	V-ta + ら最後 / V-plain + が最後	はじまったがさいご、おわりまでつづく。	始まったが最後、終わりまで続く。	Once X happens, consequence is irreversible — 'point of no return'	[sound:9ffb60710f53.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once said, you'll regret it.	V-ta + ら最後 / V-plain + が最後	いったがさいご、こうかいする。	言ったが最後、後悔する。	Once X happens, consequence is irreversible — 'point of no return'	[sound:4efbf074341f.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:intro frequency:top10k source:shin-kanzen sense:conditional-alternatives
Once found, there's no escape.	V-ta + ら最後 / V-plain + が最後	みつかったがさいご、にげられない。	見つかったが最後、逃げられない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:91f08acd2113.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once broken, repair is difficult.	V-ta + ら最後 / V-plain + が最後	こわれたがさいご、しゅうりはむずかしい。	壊れたが最後、修理は難しい。	Once X happens, consequence is irreversible — 'point of no return'	[sound:d496ce5a2a3e.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Once fire starts, it can't be extinguished.	V-ta + ら最後 / V-plain + が最後	ひがついたがさいご、けせない。	火がついたが最後、消せない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:f9aa86652b4a.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once divorced, reconciliation is hard.	V-ta + ら最後 / V-plain + が最後	りこんしたらさいご、ふくえんはむずかしい。	離婚したら最後、復縁は難しい。	Once X happens, consequence is irreversible — 'point of no return'	[sound:70430fc1f567.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Once you promise, you must keep it.	V-ta + ら最後 / V-plain + が最後	やくそくしたらさいご、まもるぎむがある。	約束したら最後、守る義務がある。	Once X happens, consequence is irreversible — 'point of no return'	[sound:1573061db685.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Once you know, you can't pretend not to.	V-ta + ら最後 / V-plain + が最後	しったがさいご、しらぬふりはできない。	知ったが最後、知らぬふりはできない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:e09baf3ca4de.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once you fall in love, feelings can't stop.	V-ta + ら最後 / V-plain + が最後	すきになったがさいご、きもちはやめられない。	好きになったが最後、気持ちは止められない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:d0a91866afff.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
Once you quit, you can't come back.	V-ta + ら最後 / V-plain + が最後	やめたらさいご、もうもどってこられない。	辞めたら最後、もう戻ってこられない。	Once X happens, consequence is irreversible — 'point of no return'	[sound:2337a077e06b.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
