#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::13 - L1 Interference::Production

I climb the mountain (goal)	対象 + に + 登る	やまにのぼります	山に登ります	に: time point marker — に marks specific time; L1 omits it when English drops 'on'	[sound:75505711d02f.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I follow him (target of following)	人 + に + 従う	かれにしたがいます	彼に従います	で: scope/domain — で marks the field/domain of activity; L1 interference	[sound:3f2bf9618c02.mp3]	module:13-l1 point:l1-particles-overlap frequency:top5k complexity:intro source:curated-jpgram
I write with a pen (means)	道具 + で + 動作	ぺんでかきます	ペンで書きます	から: source/origin — から marks starting point; L1 'from'→から, but direction≠に	[sound:34e7bb1cb40f.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I go together with my friend (companion)	人 + と + 一緒に	ともだちといっしょにいきます	友達と一緒に行きます	まで: temporal endpoint — まで marks duration ceiling; L1 'until'→まで	[sound:b978021ba844.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I play in the park (action space)	場所 + で + 動作	こうえんであそびます	公園で遊びます	に: frequency base — に marks the basis for rates; L1 calque '3 times a day'	[sound:5f7e400d4d2f.mp3]	module:13-l1 point:l1-particles-overlap frequency:top5k complexity:intro source:curated-jpgram
I enter the shop (destination)	場所 + に + 入る	みせにはいります	店に入ります	が: subject in subordinate — が in relative clauses; L1 uses 'who/which'	[sound:3b03732fab08.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I return home (destination)	場所 + に + 帰る	いえにかえります	家に帰ります	に: passive agent — に marks who did it; L1 transfers 'by'→によって or に	[sound:05e97ee2be39.mp3]	module:13-l1 point:l1-particles-overlap frequency:top5k complexity:intro source:curated-jpgram
I swim in the river (action place)	場所 + で + 動作	かわでおよぎます	川で泳ぎます	を: caused-movement object — を with directional verbs; L1 uses 'from'→から	[sound:21b55b538a18.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I attend the wedding (event target)	イベント + に + 出席	けっこんしきにしゅっせきします	結婚式に出席します	で: cause/reason — で marks cause in informal speech; L1 'because of'→ので/から	[sound:6050f0f638c5.mp3]	module:13-l1 point:l1-particles-overlap frequency:top5k complexity:intro source:curated-jpgram
I watch out for danger (target awareness)	対象 + に + 気をつける	きけんにきをつけます	危険に気をつけます	に: becoming target — に marks the state become; L1 'become'→になる	[sound:b203792097ae.mp3]	module:13-l1 point:l1-particles-overlap frequency:top5k complexity:intro source:curated-jpgram
I get examined by the doctor (target person)	人 + に + もらう	いしゃにみてもらいます	医者に診てもらいます	と: quotation particle — と marks quoted speech; L1 calque 'that'→と	[sound:2a7ca7290536.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I answer the question (target)	質問 + に + 答える	しつもんにこたえます	質問に答えます	に: purpose destination — に+V-infinitive marks going to do; L1 'to do'→ために	[sound:3dc169b72d5d.mp3]	module:13-l1 point:l1-particles-overlap frequency:top5k complexity:intro source:curated-jpgram
I got wet from the rain (cause)	原因 + に + 濡れる	あめにぬれました	雨に濡れました	が: potential object — が with potential; L1 uses を for potential objects too	[sound:935f7fc3dde7.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
There is a book on the desk (location)	場所 + に + ある	つくえのうえにほんがあります	机の上に本があります	で: material/ingredient — で marks what something is made of; L1 'from'→で/から	[sound:67d2d1a735fa.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I study Japanese (direct object)	対象 + を + 勉強	にほんごをべんきょうします	日本語を勉強します	に: contact point — に marks the surface contact; L1 interference from 'on'→に/で	[sound:a8ac45b1d6fe.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I push the button (direct object)	対象 + を + 押す	ぼたんをおします	ボタンを押します	を: emotional domain — を marks the content of emotion; L1 uses 'about'	[sound:d75ff621463d.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I forgot the word (direct object)	対象 + を + 忘れる	ことばをわすれました	言葉を忘れました	から: passive source — から marks where passive action originated	[sound:e5dec3ef9301.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I left the station (departed from)	場所 + を + 出る	えきをでました	駅を出ました	に: changed-state target — に with change verbs; L1 'to'→に	[sound:0a8098f27ddd.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I am living in Japan (residence)	場所 + に + 住む(ている)	にほんにすんでいます	日本に住んでいます	が: intransitive subject — が for natural phenomena; L1 treats as transitive object	[sound:82ff0fd4da6b.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
