#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::10 - Onomatopoeia::Contrast

気持ちがスッキリした	スッキリ	モヤモヤ	スッキリ	Clear refreshed state (スッキリ) vs confused muddled state (モヤモヤ); mental clarity.	Clear and resolved → スッキリ; confused and foggy → モヤモヤ	[sound:232ca9a3a042.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:モヤモヤ frequency:top5k
砂がジャリジャリする	ジャリジャリ	さらさら	ジャリジャリ	Gritty granular feeling (ジャリジャリ) vs smooth flowing sand (さらさら); texture fineness.	Coarse grainy sand → ジャリジャリ; fine powder sand → さらさら	[sound:ad745297a708.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:さらさら frequency:top5k
足がポカポカ温かい	ポカポカ	ひんやり	ポカポカ	Warm pleasant comfort (ポカポカ) vs cool cold chill (ひんやり); temperature sensation.	Cozy warm feeling → ポカポカ; cool refreshing feel → ひんやり	[sound:897b9a5d45fb.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ひんやり frequency:top10k
心がイライラしている	イライラ	ほっと	イライラ	Annoyed frustrated state (イライラ) vs relieved satisfied state (ほっと); emotional opposite.	Irritated and angry → イライラ; calm and relieved → ほっと	[sound:4ef348509990.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ほっと frequency:top5k
気分がダラダラ	ダラダラ	きびきび	ダラダラ	Lazy sluggish mood (ダラダラ) vs energetic brisk mood (きびきび); activity level opposite.	Lazy unmotivated → ダラダラ; sharp and energetic → きびきび	[sound:c1a777958111.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:きびきび frequency:top5k
川がザワザワしている	ザワザワ	しん	ザワザワ	Restless noisy atmosphere (ザワザワ) vs serene silence (しん); ambient sound.	Chaotic bustle → ザワザワ; peaceful quiet → しん	[sound:3b4b5e29a04a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しん
髪がボサボサ	ボサボサ	つやつや	ボサボサ	Messy tangled hair (ボサボサ) vs glossy lustrous hair (つやつや); appearance opposite.	Messy unkempt hair → ボサボサ; shiny well-groomed hair → つやつや	[sound:97285847df90.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:つやつや frequency:top5k
顔がぱりぱりしている	ぱりぱり	しっとり	ぱりぱり	Dry flaking skin (ぱりぱり) vs moist dewy skin (しっとり); hydration opposite.	Dry and peeling → ぱりぱり; soft and moisturized → しっとり	[sound:024b4b743bc6.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しっとり frequency:top1k
腕がピリピリしている	ピリピリ	すーっ	ピリピリ	Stinging sharp sensation (ピリピリ) vs smooth soothing sensation (すーっ); physical feeling.	Sharp prickling pain → ピリピリ; cool soothing relief → すーっ	[sound:9848ec3102b2.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:すーっ frequency:top5k
本を読むのがぎこちない	ぎこちない	すらすら	ぎこちない	Halting awkward reading (ぎこちない) vs smooth fluent reading (すらすら); reading ease.	Stilted and awkward → ぎこちない; smooth and natural → すらすら	[sound:f1ff8883d61c.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:すらすら frequency:top1k
雨が___と降る	ザーザー	しとしと	ザーザー	Heavy rain (ザーザー) vs soft drizzle (しとしと); intensity and sound differ.	Torrential pour → ザーザー; gentle patter → しとしと	[sound:ebae4636f840.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しとしと frequency:top1k
{{c1::ドキドキ}}と心臓が	ドキドキ	チクタク	ドキドキ	Excited heartbeat (ドキドキ) vs mechanical ticking (チクタク); emotional vs mechanical.	Nervous pulse → ドキドキ; clock steady → チクタク	[sound:330e520ccb93.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:チクタク frequency:top10k
