#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition

先生に論文を読んでもらいました。	せんせいにろんぶんをよんでもらいました。	I had the teacher read my thesis.	-てもらう	get service	V-te + もらう	request to superior	school	[sound:ccf0462287cc.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
医者に見てもらいました。	いしゃにみてもらいました。	I had a doctor examine me.	-てもらう	receive service	V-te + もらう	medical exam	healthcare	[sound:2b551150e62b.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:intro frequency:top1k
兄に手伝ってもらいました。	あににてつだってもらいました。	I had my brother help me.	-てもらう	receive help	V-te + もらう	family help	sibling	[sound:11ecf59df689.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
友達に聞いてもらいました。	ともだちにきいてもらいました。	I had my friend listen to me.	-てもらう	receive attention	V-te + もらう	emotional support	friend	[sound:03af3f1dc409.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
先輩に教えてもらっています。	せんぱいにおしえてもらっています。	I am receiving instruction from my senior.	-てもらう	ongoing learning	V-te + もらう	mentoring	workplace	[sound:51a4e6888795.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
彼女に助言をもらいました。	かのじょにじょげんをもらいました。	I received advice from my girlfriend.	-てもらう	relationship	V-te + もらう	personal help	couple	[sound:dbdbb18e11a0.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:low
親に金を借りてもらった。	おやにきんをかりてもらった。	I borrowed money from my parents.	-てもらう	financial	V-te + もらう	family finance	parents	[sound:4c766eebc16d.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:intro frequency:top10k
店員さんに荷物を運んでもらいました。	てんいんさんににもつをはこんでもらいました。	I had the clerk carry my luggage.	-てもらう	service	V-te + もらう	retail	shopping	[sound:b76b204f5b87.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
セキュリティに確認してもらった。	せきゅりてぃにかくにんしてもらった。	I had security check on it.	-てもらう	professional	V-te + もらう	verification	work	[sound:a74f67c2a4aa.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
彼に話を聞いてもらいたい。	かれにはなしをきいてもらいたい。	I want him to hear my story.	-てもらう	request	V-te + もらう	future request	conversation	[sound:619f2811ed7b.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top5k
先生にお忙しいところ、見ていただきました。	せんせいにおいそがしいところ、みていただきました。	The teacher took time to examine my work despite being busy.	-ていただく	humble request	V-te + いただく	respectful request	敬語	[sound:70b4bc9e0a00.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
社長にご意見をいただきました。	しゃちょうにごいけんをいただきました。	I received an opinion from the president.	-ていただく	humble receive	V-te + いただく	executive input	敬語	[sound:7daf6d7a52b9.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top5k
医者に診ていただきたいのですが。	いしゃにみていただきたいのですが。	I would like to be examined by a doctor.	-ていただく	humble request	V-te + いただく	medical request	敬語	[sound:72c8e6d17aa8.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
お客様にご利用いただきありがとうございます。	おきゃくさまにごりよういただきありがとうございます。	Thank you for using our service.	-ていただく	formal thanks	V-te + いただく	customer service	敬語	[sound:fb83f81bdd4e.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top5k
先輩にご指導いただいています。	せんぱいにごしどういただいています。	I am receiving guidance from my senior.	-ていただく	humble learning	V-te + いただく	mentoring	敬語	[sound:5dd320cfb63a.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
父にご意見をいただきたいです。	ちちにごいけんをいただきたいです。	I would like to receive your opinion, father.	-ていただく	humble	V-te + いただく	family advice	敬語	[sound:5ba82a08872a.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top5k
店長にアドバイスをいただきました。	てんちょうにあどばいすをいただきました。	I received advice from the manager.	-ていただく	professional	V-te + いただく	business	敬語	[sound:a5d3916601ce.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
先生にご添削いただきました。	せんせいにごてんさくいただきました。	The teacher corrected my work.	-ていただく	academic	V-te + いただく	teaching	敬語	[sound:b24302913004.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
患者さんにご協力いただきました。	かんじゃさんにごきょうりょくいただきました。	The patient cooperated with us.	-ていただく	formal	V-te + いただく	healthcare	敬語	[sound:9fa4b1419b4c.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
皆様にご参加いただきありがとうございます。	みなさまにごさんかいただきありがとうございます。	Thank you all for your participation.	-ていただく	formal thanks	V-te + いただく	event	敬語	[sound:fefc7405cfe1.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
