#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::07 - Casual::Recognition
#
毎日走っている。	まいにちはしっている。	Run every day (current state).	Progressive aspect	〜ている	Continuous action	Habitual or ongoing	〜ている (formal)	[sound:16977b5faa3e.mp3]	module:07-casual point:aspectual-contractions
説明していきます。	せつめいしていきます。	I will explain step by step.	Progressive explanation	〜ていく	Sequential action	Polite progression	〜ていく	[sound:0453a4b2a6b0.mp3]	module:07-casual point:aspectual-contractions
気をつけといてね。	きをつけといてね。	Keep being careful, okay.	Sustained precaution	〜ておく	Preparatory state	Casual reminder	〜ておく	[sound:90abc54db737.mp3]	module:07-casual point:aspectual-contractions
問題起こさないでおきます。	もんだいおこさないでおきます。	I will refrain from causing trouble.	Intentional avoidance	〜ておく	Avoidance preparation	Formal caution	〜ておく	[sound:37b065e4be5c.mp3]	module:07-casual point:aspectual-contractions
楽しんじゃった。	たのしんじゃった。	Had too much fun.	Excess emotion	〜ちゃう	Overindulgence	Casual delight	〜てしまった	[sound:95383d1bcd4e.mp3]	module:07-casual point:aspectual-contractions
だから失敗しちゃったんです。	だからしっぱいしちゃったんです。	That's why I failed.	Causal regret	〜ちゃう	Explanation of failure	Polite confession	〜てしまった	[sound:7f18a87ab73b.mp3]	module:07-casual point:aspectual-contractions
もう寝ちゃおう。	もうねちゃおう。	Let's just go to sleep.	Casual decision	〜ちゃう	Reckless agreement	Casual suggestion	〜てしまおう	[sound:51486155f09f.mp3]	module:07-casual point:aspectual-contractions
行ったり来たりしてる。	いったりきたりしてる。	Going back and forth.	Repetitive action	〜てる	Habitual oscillation	Casual observation	〜ている	[sound:2593f18f7824.mp3]	module:07-casual point:aspectual-contractions
何考えてんの？	なにかんがえてんの？	What are you thinking?	Casual inquiry	〜てん	Casual contraction	Conversational	〜ている	[sound:aa04ceee03fb.mp3]	module:07-casual point:aspectual-contractions
怒ってんでしょ。	おこってんでしょ。	You're mad, aren't you.	Casual accusation	〜てん	Obvious state	Casual tone	〜ている	[sound:1f6ea45fb2e4.mp3]	module:07-casual point:aspectual-contractions
今、何してんの？	いま、なにしてんの？	What are you doing now?	Real-time inquiry	〜てん	Quick question	Casual	〜ている	[sound:4182c656ae06.mp3]	module:07-casual point:aspectual-contractions
毎日走ってく。	まいにちはしってく。	Running (out/forward) every day.	Progressive locomotion	〜てく	Directional action	Casual continuation	〜ていく	[sound:322cbc1d75b3.mp3]	module:07-casual point:aspectual-contractions
肉、全部食べちゃったよ。	にく、ぜんぶたべちゃったよ。	Ate all the meat.	Complete consumption	〜ちゃう	Depletion admission	Casual report	〜てしまった	[sound:befd3baf5e40.mp3]	module:07-casual point:aspectual-contractions
雨が降ってきちゃった。	あめがふってきちゃった。	Rain started falling.	Unexpected onset	〜きちゃう	Beginning + completion	Casual observation	〜てきてしまった	[sound:7ec89c666eb1.mp3]	module:07-casual point:aspectual-contractions
彼が来ちゃったから困った。	かれがきちゃったからこまった。	He came and caused trouble.	Problematic arrival	〜ちゃう	Unwanted event	Causal explanation	〜てしまった	[sound:f1d992a018db.mp3]	module:07-casual point:aspectual-contractions
