#columns:point_slug	jlpt	module	bunpro_id	tofugu_url	imabi_url	shinkanzen_ref	djg_page	notes

ている1	n5	01-n5	bunpro:ている1			sk:auto/n5	djg:bunpro/ている1	strict-deck; bunpro:ている1; ている①; Is, Am, Are (~ing)
ている2	n5	01-n5	bunpro:ている2			sk:auto/n5	djg:bunpro/ている2	strict-deck; bunpro:ている2; ている②; State of being, Has (have) done
ている3	n5	01-n5	bunpro:ている3			sk:auto/n5	djg:bunpro/ている3	strict-deck; bunpro:ている3; ている③; Has/have done, Is ~ing (Repetition)
てから	n5	01-n5	bunpro:てから			sk:auto/n5	djg:bunpro/てから	strict-deck; bunpro:てから; てから; Once...is done, Once...happens, After doing
てください	n5	01-n5	bunpro:てください			sk:auto/n5	djg:bunpro/てください	strict-deck; bunpro:てください; てください; Please do (Polite request)
てはいけない	n5	01-n5	bunpro:てはいけない			sk:auto/n5	djg:bunpro/てはいけない	strict-deck; bunpro:てはいけない; てはいけない; Must not, May not
てもいい	n5	01-n5	bunpro:てもいい			sk:auto/n5	djg:bunpro/てもいい	strict-deck; bunpro:てもいい; てもいい; It is alright/fine/okay even if, Can/may, ~ is also okay
で	n5	01-n5	bunpro:で			sk:auto/n5	djg:bunpro/で	strict-deck; bunpro:で; で; At, In
で-by	n5	01-n5	bunpro:で-by			sk:auto/n5	djg:bunpro/で-by	strict-deck; bunpro:で-by; で; With, By (using)
でしょう	n5	01-n5	bunpro:でしょう			sk:auto/n5	djg:bunpro/でしょう	strict-deck; bunpro:でしょう; でしょう; Right?, Probably, Isn't it?
です	n5	01-n5	bunpro:です			sk:auto/n5	djg:bunpro/です	strict-deck; bunpro:です; です; To be, Is
と	n5	01-n5	bunpro:と			sk:auto/n5	djg:bunpro/と	strict-deck; bunpro:と; と; Quotation
と-and	n5	01-n5	bunpro:と-and			sk:auto/n5	djg:bunpro/と-and	strict-deck; bunpro:と-and; と; And
と-with	n5	01-n5	bunpro:と-with			sk:auto/n5	djg:bunpro/と-with	strict-deck; bunpro:と-with; と; With
どうして	n5	01-n5	bunpro:どうして			sk:auto/n5	djg:bunpro/どうして	strict-deck; bunpro:どうして; どうして; Why
どこ	n5	01-n5	bunpro:どこ			sk:auto/n5	djg:bunpro/どこ	strict-deck; bunpro:どこ; どこ; Where
どの	n5	01-n5	bunpro:どの			sk:auto/n5	djg:bunpro/どの	strict-deck; bunpro:どの; どの; Which (of three or more), What (kind)
どれ	n5	01-n5	bunpro:どれ			sk:auto/n5	djg:bunpro/どれ	strict-deck; bunpro:どれ; どれ; Which (of three or more)
な	n5	01-n5	bunpro:な			sk:auto/n5	djg:bunpro/な	strict-deck; bunpro:な; な; Do not, Don't (Prohibitive)
な-adjective-noun	n5	01-n5	bunpro:な-adjective-noun			sk:auto/n5	djg:bunpro/な-adjective-noun	strict-deck; bunpro:な-adjective-noun; な-Adjective + Noun; Describing a noun
な-adjective-predicate	n5	01-n5	bunpro:な-adjective-predicate			sk:auto/n5	djg:bunpro/な-adjective-predicate	strict-deck; bunpro:な-adjective-predicate; な-Adjective だ; な-Adjective (Predicate)
な-adjectives	n5	01-n5	bunpro:な-adjectives			sk:auto/n5	djg:bunpro/な-adjectives	strict-deck; bunpro:な-adjectives; な-Adjectives; Adjectives that are also nouns
ないでください	n5	01-n5	bunpro:ないでください			sk:auto/n5	djg:bunpro/ないでください	strict-deck; bunpro:ないでください; ないでください; Please don't (Polite request)
ないほうがいい	n5	01-n5	bunpro:ないほうがいい			sk:auto/n5	djg:bunpro/ないほうがいい	strict-deck; bunpro:ないほうがいい; ないほうがいい; It'd be better not to, Shouldn't do
なくちゃ-なきゃ	n5	01-n5	bunpro:なくちゃ-なきゃ			sk:auto/n5	djg:bunpro/なくちゃ-なきゃ	strict-deck; bunpro:なくちゃ-なきゃ; なくちゃ・なきゃ; Must do, Have to do
なくてはいけない	n5	01-n5	bunpro:なくてはいけない			sk:auto/n5	djg:bunpro/なくてはいけない	strict-deck; bunpro:なくてはいけない; なくてはいけない; Must do, Have to do
なくてはならない	n5	01-n5	bunpro:なくてはならない			sk:auto/n5	djg:bunpro/なくてはならない	strict-deck; bunpro:なくてはならない; なくてはならない; Must do, Have to do
なぜ	n5	01-n5	bunpro:なぜ			sk:auto/n5	djg:bunpro/なぜ	strict-deck; bunpro:なぜ; なぜ; Why
なにか-なにも	n5	01-n5	bunpro:なにか-なにも			sk:auto/n5	djg:bunpro/なにか-なにも	strict-deck; bunpro:なにか-なにも; なにか・なにも; Something, Nothing, Anything, Not anything, Some kind of, Not any kind of
なんで	n5	01-n5	bunpro:なんで			sk:auto/n5	djg:bunpro/なんで	strict-deck; bunpro:なんで; なんで; Why
に	n5	01-n5	bunpro:に			sk:auto/n5	djg:bunpro/に	strict-deck; bunpro:に; に; In, At, To, For, On
にする	n5	01-n5	bunpro:にする			sk:auto/n5	djg:bunpro/にする	strict-deck; bunpro:にする; にする; To decide on, To choose, To make something into, To view something as
になる-くなる	n5	01-n5	bunpro:になる-くなる			sk:auto/n5	djg:bunpro/になる-くなる	strict-deck; bunpro:になる-くなる; ～になる・～くなる; To become (Adjective)
ね	n5	01-n5	bunpro:ね			sk:auto/n5	djg:bunpro/ね	strict-deck; bunpro:ね; ね; Isn't it?, Right? (Sentence ending particle)
の	n5	01-n5	bunpro:の			sk:auto/n5	djg:bunpro/の	strict-deck; bunpro:の; の; Indicates possession
の-noun-ommission	n5	01-n5	bunpro:の-noun-ommission			sk:auto/n5	djg:bunpro/の-noun-ommission	strict-deck; bunpro:の-noun-ommission; の; Possessive use (Noun omission)
の-questions	n5	01-n5	bunpro:の-questions			sk:auto/n5	djg:bunpro/の-questions	strict-deck; bunpro:の-questions; の (Questions); Contextual and Explanatory Questions
の-subject	n5	01-n5	bunpro:の-subject			sk:auto/n5	djg:bunpro/の-subject	strict-deck; bunpro:の-subject; が・の (Subject); Particle Swapping
のがじょうず	n5	01-n5	bunpro:のがじょうず			sk:auto/n5	djg:bunpro/のがじょうず	strict-deck; bunpro:のがじょうず; のがじょうず; To be good at, Proficient
のがすき	n5	01-n5	bunpro:のがすき			sk:auto/n5	djg:bunpro/のがすき	strict-deck; bunpro:のがすき; のがすき; Like doing, Love doing
のがへた	n5	01-n5	bunpro:のがへた			sk:auto/n5	djg:bunpro/のがへた	strict-deck; bunpro:のがへた; のがへた; To be bad at, Poor at, Unskillful
ので	n5	01-n5	bunpro:ので			sk:auto/n5	djg:bunpro/ので	strict-deck; bunpro:ので; ので; Because, So, Since, The reason being
のなかで-がいちばん	n5	01-n5	bunpro:のなかで-がいちばん			sk:auto/n5	djg:bunpro/のなかで-がいちばん	strict-deck; bunpro:のなかで-がいちばん; のなかで～がいちばん～; Out of ~, ~ is the best/most ~
のは	n5	01-n5	bunpro:のは			sk:auto/n5	djg:bunpro/のは	strict-deck; bunpro:のは; の; Verb nominalizer, The one who..., That which...
は	n5	01-n5	bunpro:は			sk:auto/n5	djg:bunpro/は	strict-deck; bunpro:は; は; As for... (Highlights sentence topic)
へ	n5	01-n5	bunpro:へ			sk:auto/n5	djg:bunpro/へ	strict-deck; bunpro:へ; へ; To, Toward
へいく	n5	01-n5	bunpro:へいく			sk:auto/n5	djg:bunpro/へいく	strict-deck; bunpro:へいく; へいく; To go to, To head toward
まえに	n5	01-n5	bunpro:まえに			sk:auto/n5	djg:bunpro/まえに	strict-deck; bunpro:まえに; まえに; Before, In front of
ましょう	n5	01-n5	bunpro:ましょう			sk:auto/n5	djg:bunpro/ましょう	strict-deck; bunpro:ましょう; ましょう; Let's, Shall we (Polite volitional)
ましょうか	n5	01-n5	bunpro:ましょうか			sk:auto/n5	djg:bunpro/ましょうか	strict-deck; bunpro:ましょうか; ～ましょうか; Shall we, Shall I
ませんか	n5	01-n5	bunpro:ませんか			sk:auto/n5	djg:bunpro/ませんか	strict-deck; bunpro:ませんか; ませんか; Won't you, Would you not, Why don't we
まだ	n5	01-n5	bunpro:まだ			sk:auto/n5	djg:bunpro/まだ	strict-deck; bunpro:まだ; まだ; Still
まだ-ていません	n5	01-n5	bunpro:まだ-ていません			sk:auto/n5	djg:bunpro/まだ-ていません	strict-deck; bunpro:まだ-ていません; まだ～ていません; Still haven't done (something)
も	n5	01-n5	bunpro:も			sk:auto/n5	djg:bunpro/も	strict-deck; bunpro:も; も; Also, Too, As well, Even, Either, Neither
もう	n5	01-n5	bunpro:もう			sk:auto/n5	djg:bunpro/もう	strict-deck; bunpro:もう; もう; Already, Anymore
もらう	n5	01-n5	bunpro:もらう			sk:auto/n5	djg:bunpro/もらう	strict-deck; bunpro:もらう; もらう; To receive, To get, To obtain
や	n5	01-n5	bunpro:や			sk:auto/n5	djg:bunpro/や	strict-deck; bunpro:や; や; Things like, And the like
よ	n5	01-n5	bunpro:よ			sk:auto/n5	djg:bunpro/よ	strict-deck; bunpro:よ; よ; Emphasis (Sentence ending particle)
より-のほうが	n5	01-n5	bunpro:より-のほうが			sk:auto/n5	djg:bunpro/より-のほうが	strict-deck; bunpro:より-のほうが; より～のほうが; To be more ~ than ~
る-Verbs	n5	01-n5	bunpro:る-Verbs			sk:auto/n5	djg:bunpro/る-Verbs	strict-deck; bunpro:る-Verbs; る-Verb (Dictionary); る + ます (Ichidan Verbs)
る-verb-neg-past	n5	01-n5	bunpro:る-verb-neg-past			sk:auto/n5	djg:bunpro/る-verb-neg-past	strict-deck; bunpro:る-verb-neg-past; る-Verb (Negative-Past); る - Verbs (Negative-past tense)
る-verb-past	n5	01-n5	bunpro:る-verb-past			sk:auto/n5	djg:bunpro/る-verb-past	strict-deck; bunpro:る-verb-past; る-Verb (Past); る - Verbs (Past tense)
るverb-ない	n5	01-n5	bunpro:るverb-ない			sk:auto/n5	djg:bunpro/るverb-ない	strict-deck; bunpro:るverb-ない; る-Verb (Negative); Will/Does/Do (not)
を	n5	01-n5	bunpro:を			sk:auto/n5	djg:bunpro/を	strict-deck; bunpro:を; を; Object marking particle
誰か-どこか-誰も-どこも	n5	01-n5	bunpro:誰か-どこか-誰も-どこも			sk:auto/n5	djg:bunpro/誰か-どこか-誰も-どこも	strict-deck; bunpro:誰か-どこか-誰も-どこも; 誰か・どこか・誰も・どこも; Someone, Somewhere, Not anyone, Not anywhere
Verb[passive]	n4	02-n4	bunpro:Verb[passive]			sk:auto/n4	djg:bunpro/Verb[passive]	strict-deck; bunpro:Verb[passive]; Verb［れる・られる］; Was done to ~ by ~, Done without consent, Done to one's dismay
Verb[potential]	n4	02-n4	bunpro:Verb[potential]			sk:auto/n4	djg:bunpro/Verb[potential]	strict-deck; bunpro:Verb[potential]; れる・られる (Potential); To be able, Can (Potential)
causative	n4	02-n4	bunpro:causative			sk:auto/n4	djg:bunpro/causative	strict-deck; bunpro:causative; Verb［せる・させる］; To make/let/have (somebody do something)
causative-passive	n4	02-n4	bunpro:causative-passive			sk:auto/n4	djg:bunpro/causative-passive	strict-deck; bunpro:causative-passive; Causative-Passive; Verbs (Causative-passive voice), To be made to do something, To be forced to do
describing-verbs	n4	02-n4	bunpro:describing-verbs			sk:auto/n4	djg:bunpro/describing-verbs	strict-deck; bunpro:describing-verbs; く・に; ～ly (Describing verbs), Adverbs
number-amount-は	n4	02-n4	bunpro:number-amount-は			sk:auto/n4	djg:bunpro/number-amount-は	strict-deck; bunpro:number-amount-は; Number/Amount + は; At least, Sort of, Or so
number-しか-ない	n4	02-n4	bunpro:number-しか-ない			sk:auto/n4	djg:bunpro/number-しか-ない	strict-deck; bunpro:number-しか-ない; Number + しか〜ない; No more than, Not exceeding, As few as・as little as, Only
number-も	n4	02-n4	bunpro:number-も			sk:auto/n4	djg:bunpro/number-も	strict-deck; bunpro:number-も; Number + も; Emphasis, As ~ as, Not even
question-phrase-か	n4	02-n4	bunpro:question-phrase-か			sk:auto/n4	djg:bunpro/question-phrase-か	strict-deck; bunpro:question-phrase-か; Question-phrase + か; Including questions within sentences
transitive-intransitive-verbs	n4	02-n4	bunpro:transitive-intransitive-verbs			sk:auto/n4	djg:bunpro/transitive-intransitive-verbs	strict-deck; bunpro:transitive-intransitive-verbs; 他動詞・自動詞; Done through action vs. occurring on its own
verb-て-noun-で-b	n4	02-n4	bunpro:verb-て-noun-で-b			sk:auto/n4	djg:bunpro/verb-て-noun-で-b	strict-deck; bunpro:verb-て-noun-で-b; Verb[て]・Noun[で] + B; By, With, On, By means of, ~ing with
verb-ないで	n4	02-n4	bunpro:verb-ないで			sk:auto/n4	djg:bunpro/verb-ないで	strict-deck; bunpro:verb-ないで; Verb[ないで]; (Please) do not (for me), Casual request
verbて-b	n4	02-n4	bunpro:verbて-b			sk:auto/n4	djg:bunpro/verbて-b	strict-deck; bunpro:verbて-b; Verb[て] + B; Non-sequence, And, But (Contrast), Parallel action/state
verbて-b2	n4	02-n4	bunpro:verbて-b2			sk:auto/n4	djg:bunpro/verbて-b2	strict-deck; bunpro:verbて-b2; Verb[て] + B; And・and so, Due to, Because of, Since, Conjunctive
verbて-request	n4	02-n4	bunpro:verbて-request			sk:auto/n4	djg:bunpro/verbて-request	strict-deck; bunpro:verbて-request; Verb[て]; Please do for me (Casual request)
あとで	n4	02-n4	bunpro:あとで			sk:auto/n4	djg:bunpro/あとで	strict-deck; bunpro:あとで; あとで; After, Later
あまり-ない	n4	02-n4	bunpro:あまり-ない			sk:auto/n4	djg:bunpro/あまり-ない	strict-deck; bunpro:あまり-ない; あまり～ない; Not very, Not much, Not really, Hardly
いか	n4	02-n4	bunpro:いか			sk:auto/n4	djg:bunpro/いか	strict-deck; bunpro:いか; いか; Less than (or equal to), Under・(and) below, Any less・fewer, Not exceeding
いがい	n4	02-n4	bunpro:いがい			sk:auto/n4	djg:bunpro/いがい	strict-deck; bunpro:いがい; いがい; Except・besides, Other than, With the exception of
いたす	n4	02-n4	bunpro:いたす			sk:auto/n4	djg:bunpro/いたす	strict-deck; bunpro:いたす; いたす; To do (Humble), To venerably do
いらっしゃる	n4	02-n4	bunpro:いらっしゃる			sk:auto/n4	djg:bunpro/いらっしゃる	strict-deck; bunpro:いらっしゃる; いらっしゃる; To be (Honorific), To come (Honorific), To go (Honorific)
お-ください	n4	02-n4	bunpro:お-ください			sk:auto/n4	djg:bunpro/お-ください	strict-deck; bunpro:お-ください; お～ください ; Please do (Honorific)
お-する	n4	02-n4	bunpro:お-する			sk:auto/n4	djg:bunpro/お-する	strict-deck; bunpro:お-する; お〜する; I humbly do, I am obliged to do, Humble speech
お-になる	n4	02-n4	bunpro:お-になる			sk:auto/n4	djg:bunpro/お-になる	strict-deck; bunpro:お-になる; お～になる ; To do (Honorific)
おわる	n4	02-n4	bunpro:おわる			sk:auto/n4	djg:bunpro/おわる	strict-deck; bunpro:おわる; おわる; To finish, To end
かい	n4	02-n4	bunpro:かい			sk:auto/n4	djg:bunpro/かい	strict-deck; bunpro:かい; かい; Question marker
かかる-time-cost	n4	02-n4	bunpro:かかる-time-cost			sk:auto/n4	djg:bunpro/かかる-time-cost	strict-deck; bunpro:かかる-time-cost; かかる (Time/Price); Costs (money), Takes (time)
かしら	n4	02-n4	bunpro:かしら			sk:auto/n4	djg:bunpro/かしら	strict-deck; bunpro:かしら; かしら; I wonder
かた	n4	02-n4	bunpro:かた			sk:auto/n4	djg:bunpro/かた	strict-deck; bunpro:かた; かた; Way of ~ing, How to ~, Manner of ~ing
かどうか	n4	02-n4	bunpro:かどうか			sk:auto/n4	djg:bunpro/かどうか	strict-deck; bunpro:かどうか; かどうか; Whether or not, If...or not
かな	n4	02-n4	bunpro:かな			sk:auto/n4	djg:bunpro/かな	strict-deck; bunpro:かな; かな; I wonder
かもしれない	n4	02-n4	bunpro:かもしれない			sk:auto/n4	djg:bunpro/かもしれない	strict-deck; bunpro:かもしれない; かもしれない; Might, Maybe, Probably
がする	n4	02-n4	bunpro:がする			sk:auto/n4	djg:bunpro/がする	strict-deck; bunpro:がする; がする; To give off, Smell, Sound, Taste, Sensation
がひつよう	n4	02-n4	bunpro:がひつよう			sk:auto/n4	djg:bunpro/がひつよう	strict-deck; bunpro:がひつよう; がひつよう; Need, Necessary
がほしい	n4	02-n4	bunpro:がほしい			sk:auto/n4	djg:bunpro/がほしい	strict-deck; bunpro:がほしい; がほしい; To want something, To be in need of
がみられる	n4	02-n4	bunpro:がみられる			sk:auto/n4	djg:bunpro/がみられる	strict-deck; bunpro:がみられる; がみられる; Can see, Can be seen, Can observe, Can be observed, Be evident, Chance to see something
がる	n4	02-n4	bunpro:がる			sk:auto/n4	djg:bunpro/がる	strict-deck; bunpro:がる; がる; To feel, To think, To act as if, To want, To desire
くは	n4	02-n4	bunpro:くは			sk:auto/n4	djg:bunpro/くは	strict-deck; bunpro:くは; くは; Emphasis and Contrast
こと	n4	02-n4	bunpro:こと			sk:auto/n4	djg:bunpro/こと	strict-deck; bunpro:こと; こと; Converting a verb into a noun
ことができる	n4	02-n4	bunpro:ことができる			sk:auto/n4	djg:bunpro/ことができる	strict-deck; bunpro:ことができる; ことができる; Can, Be able to
ございます	n4	02-n4	bunpro:ございます			sk:auto/n4	djg:bunpro/ございます	strict-deck; bunpro:ございます; ございます; To be, To exist (Polite)
