#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast
#
彼は毎日ビデオゲームをしてばかりいる。	をしてばかり	をしてだけ	ばかり	Use 'をしてばかり' for this grammatical context.		[sound:86abe9336ab5.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は彼の意見だけが重要だ。	だけ	しか	だけ	Use 'だけ' for this grammatical context.		[sound:dc74bf766a22.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は彼は学生だけではなく、アルバイトもしている。	だけ	ばかり	だけ	Use 'だけ' for this grammatical context.		[sound:df2f753952b9.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は日本語を少ししか話せない。	しか	だけ	しか	Use 'しか' for this grammatical context.		[sound:1d5dac9a6309.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は我慢するしかない。	しか	だけ	しか	Use 'しか' for this grammatical context.		[sound:995419eb27f2.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
彼がどこに住んでいるか分からない。	が	を	が	Use 'が' for this grammatical context.		[sound:d2561644f8e9.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は何時に出発するか教えてください。	を	が	を	Use 'を' for this grammatical context.		[sound:c11444c6185a.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
時間が経つうちに、気持ちが変わった。	じかんがへつうちに、きもちがかわった。	間に	うち	Grammar marker distinction: 'うち' vs '間に'		[sound:bc9b8b6ce12e.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
待つ間に、友人が着いた。	まつまに、ゆうじんがついた。	うち	間	Grammar marker distinction: '間' vs 'うち'		[sound:e56530e7c305.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
好きなことばかりしてはいけない。	ばかり	だけ	ばかり	Grammar marker distinction: 'ばかり' vs 'だけ'		[sound:4e1f861c572f.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
日本語以外にも、中国語が話せる。	だけ	しか	だけ	Grammar marker distinction: 'だけ' vs 'しか'		[sound:dc1b3bb4b38b.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
何も聞かないうちに、彼は答えてしまった。	うち	間	うち	Grammar marker distinction: 'うち' vs '間'		[sound:659f46a5a08f.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
彼が到着したところが、雨が降り始めた。	が	を	が	Grammar marker distinction: 'が' vs 'を'		[sound:d89394bfac1f.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
その言葉を聞いたばかりに、怒ってしまった。	ばかり	だけ	ばかり	Grammar marker distinction: 'ばかり' vs 'だけ'		[sound:dd4a7e51303a.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
彼女だけが知っている秘密。	だけ	ばかり	だけ	Grammar marker distinction: 'だけ' vs 'ばかり'		[sound:22985f66ae0b.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
読んでばかりいないで、実践しなさい。	ばかり	だけ	ばかり	Grammar marker distinction: 'ばかり' vs 'だけ'		[sound:2a51d6fd643d.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
医学部以外にも、法学部がある。	だけ	しか	だけ	Grammar marker distinction: 'だけ' vs 'しか'		[sound:d449267cd49b.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
