#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::05 - N1 Grammar::Cloze

その根拠は強固である{{c1::ものと考える}}。	そのこんきょはきょうこである{{c1::ものとかんがえる}}。	formal thinking: I consider to be solid.	[sound:f3d891aef1c4.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
改善の余地は{{c1::ものと思われる}}。	かいぜんのよちは{{c1::ものとおもわれる}}。	formal belief: there is room thought to be.	[sound:10a71bb28b0c.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
その責任は明確だ{{c1::ものとされる}}。	そのせきにんはめいかくだ{{c1::ものとされる}}。	formal assignment: is considered to be clear.	[sound:73590158db0f.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
計画の実行は可能である{{c1::ものと想定される}}。	けいかくのじっこうはかのうである{{c1::ものとそうていされる}}。	formal assumption: assumed feasible to execute.	[sound:ea1df443399f.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:standard frequency:top10k
成功の確率は高い{{c1::ものと予測される}}。	せいこうのかくりつはたかい{{c1::ものとよそくされる}}。	formal prediction: predicted to be high.	[sound:dadc6ae9d406.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
その影響は大きい{{c1::ものと推測される}}。	そのえいきょうはおおきい{{c1::ものとすいそくされる}}。	formal inference: inferred to be large.	[sound:e8a38345ff20.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
重要な決定だ{{c1::ものと言える}}。	じゅうようなけっていだ{{c1::ものといえる}}。	formal statement: can be said to be important.	[sound:4149b49d6973.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
状況は好転している{{c1::ものと見られる}}。	じょうきょうはこうてんしている{{c1::ものとみられる}}。	formal observation: is seen to be improving.	[sound:82bb8a960980.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
達成は困難である{{c1::ものとして認識される}}。	たっせいはこんなんである{{c1::ものとしてにんしきされる}}。	formal recognition: recognized as difficult.	[sound:75c353c2355e.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
その資質は優秀である{{c1::ものと評判である}}。	そのししつはゆうしゅうである{{c1::ものとひょうばんである}}。	formal reputation: reputed to be excellent.	[sound:de2fcba4fdcc.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
改革の効果は大きい{{c1::ものと断定される}}。	かいかくのこうかはおおきい{{c1::ものとだんていされる}}。	formal assertion: asserted to be large.	[sound:11c3f3394e54.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
その判断は妥当だ{{c1::ものと公言される}}。	そのはんだんはだとうだ{{c1::ものとこうげんされる}}。	formal declaration: declared to be sound.	[sound:66203e549273.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
