#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::10 - Onomatopoeia::Contrast

気持ちが___した	スッキリ	モヤモヤ	スッキリ	Clear refreshed state (スッキリ) vs confused muddled state (モヤモヤ); mental clarity.	Clear and resolved → (this form); confused and foggy → モヤモヤ	[sound:232ca9a3a042.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:モヤモヤ frequency:top5k source:dictionary-of-jp-grammar
砂が___する	ジャリジャリ	さらさら	ジャリジャリ	Gritty granular feeling (ジャリジャリ) vs smooth flowing sand (さらさら); texture fineness.	Coarse grainy sand → (this form); fine powder sand → さらさら	[sound:ad745297a708.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:さらさら frequency:top5k source:dictionary-of-jp-grammar
足が___温かい	ポカポカ	ひんやり	ポカポカ	Warm pleasant comfort (ポカポカ) vs cool cold chill (ひんやり); temperature sensation.	Cozy warm feeling → (this form); cool refreshing feel → ひんやり	[sound:897b9a5d45fb.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ひんやり frequency:top10k source:dictionary-of-jp-grammar
心が___している	イライラ	ほっと	イライラ	Annoyed frustrated state (イライラ) vs relieved satisfied state (ほっと); emotional opposite.	Irritated and angry → (this form); calm and relieved → ほっと	[sound:4ef348509990.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ほっと frequency:top5k source:dictionary-of-jp-grammar
気分が___	ダラダラ	きびきび	ダラダラ	Lazy sluggish mood (ダラダラ) vs energetic brisk mood (きびきび); activity level opposite.	Lazy unmotivated → (this form); sharp and energetic → きびきび	[sound:c1a777958111.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:きびきび frequency:top5k source:dictionary-of-jp-grammar
川が___している	ザワザワ	しん	ザワザワ	Restless noisy atmosphere (ザワザワ) vs serene silence (しん); ambient sound.	Chaotic bustle → (this form); peaceful quiet → しん	[sound:3b4b5e29a04a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しん source:dictionary-of-jp-grammar
髪がボサボサ	ボサボサ	つやつや	ボサボサ	Messy tangled hair (ボサボサ) vs glossy lustrous hair (つやつや); appearance opposite.	Messy unkempt hair → (this form); shiny well-groomed hair → つやつや	[sound:97285847df90.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:つやつや frequency:top5k source:dictionary-of-jp-grammar
顔が___している	ぱりぱり	しっとり	ぱりぱり	Dry flaking skin (ぱりぱり) vs moist dewy skin (しっとり); hydration opposite.	Dry and peeling → (this form); soft and moisturized → しっとり	[sound:024b4b743bc6.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しっとり frequency:top1k source:dictionary-of-jp-grammar
腕が___している	ピリピリ	すーっ	ピリピリ	Stinging sharp sensation (ピリピリ) vs smooth soothing sensation (すーっ); physical feeling.	Sharp prickling pain → (this form); cool soothing relief → すーっ	[sound:9848ec3102b2.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:すーっ frequency:top5k source:dictionary-of-jp-grammar
本を読むのが___	ぎこちない	すらすら	ぎこちない	Halting awkward reading (ぎこちない) vs smooth fluent reading (すらすら); reading ease.	Stilted and awkward → (this form); smooth and natural → すらすら	[sound:f1ff8883d61c.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:すらすら frequency:top1k source:dictionary-of-jp-grammar
雨が___と降る	ザーザー	しとしと	ザーザー	Heavy rain (ザーザー) vs soft drizzle (しとしと); intensity and sound differ.	Torrential pour → (this form); gentle patter → しとしと	[sound:ebae4636f840.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しとしと frequency:top1k source:dictionary-of-jp-grammar
___と心臓が	ドキドキ	チクタク	ドキドキ	Excited heartbeat (ドキドキ) vs mechanical ticking (チクタク); emotional vs mechanical.	Nervous pulse → (this form); clock steady → チクタク	[sound:30d928415010.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:チクタク frequency:top10k source:dictionary-of-jp-grammar
