#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Recognition

シクシク	しくしく	Quietly sobbing.	Emotional state	onomatopoeia	gitaigo: quiet persistent sobbing — suppressed sadness; low continuous crying	suppressed crying	loud wailing (わあわあ)	[sound:d55d75871547.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ビリビリ	びりびり	Tense/strained.	Electric atmosphere	onomatopoeia	gitaigo: tense charged state — nerves on edge; atmosphere before something breaks	charged tension	relaxed and easy (のんびり)	[sound:5504f489cd71.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ピタピタ	ぴたぴた	Close-fitting/tight.	Spatial state	onomatopoeia	gitaigo: skin-close tight fit — second-skin tightness; form-fitting garment	snug contact	loose and baggy (ぶかぶか)	[sound:ca66e82ae123.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
モフモフ	もふもふ	Fluffy/plump.	Soft appearance	onomatopoeia	gitaigo: thick plush fluffiness — animal fur, cloud-like blanket; soft volume	puffy softness	thin and scraggly (やせやせ)	[sound:e68b45bcefba.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぐちゃぐちゃ	ぐちゃぐちゃ	Mushy/messy.	Disorganized state	onomatopoeia	gitaigo: messy soggy disorder — mud, overcooked food; structural collapse	sloppy chaos	neat and tidy (きちり)	[sound:8d2c7303f002.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
どんより	どんより	Gloomy/murky.	Atmosphere or sky	onomatopoeia	gitaigo: heavy oppressive dullness — overcast sky or heavy-hearted mood	overcast mood	bright and clear (かんかん)	[sound:c3ae45c1e797.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
そよそよ	そよそよ	Gentle breeze.	Light wind	onomatopoeia	gitaigo: delicate barely-there breeze — soothing air movement; almost stillness	soft wafting	strong gusts (ぴゅーぴゅー)	[sound:1e823f3f891b.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
じっとり	じっとり	Damp/humid.	Moisture state	onomatopoeia	gitaigo: clammy uncomfortable dampness — humid skin or damp fabric after effort	dampness	dry and arid (かりかり)	[sound:cd6e94431179.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぷんぷん	ぷんぷん	Full of scent.	Smell presence	onomatopoeia	gitaigo: strongly scented saturation — overwhelming smell from all directions	aromatic	odorless (においなし)	[sound:d73a9e327082.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぐらぐら	ぐらぐら	Shaky/unstable.	Physical state	onomatopoeia	gitaigo: unstable wobbling shaking — loose tooth, pot boiling; lack of stability	wobbling	firm and solid (どっしり)	[sound:d55fdad4a693.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぶかぶか	ぶかぶか	Baggy/loose.	Ill-fitting clothes	onomatopoeia	gitaigo: too-large baggy loose fit — oversized clothes that won't stay in place	oversized clothes	tight-fitting (ぴったり)	[sound:2bcef5cec01a.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
きらきら	きらきら	Glittering state.	Shiny appearance	onomatopoeia	gitaigo: glittering radiant sustained shine — eyes, stars, sequins; visual sparkle	luminous gleam	dull and dark (くらい)	[sound:70789e8665a3.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ふにゃふにゃ	ふにゃふにゃ	Soft/squishy.	Mushy texture	onomatopoeia	gitaigo: limp floppy softness — noodles, tired body; no structural integrity	spongy softness	hard and rigid (かっちり)	[sound:c26b0acba679.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
つやつや	つやつや	Glossy/shiny.	Lustrous surface	onomatopoeia	gitaigo: glossy healthy sheen — healthy hair, polished wood, ripe fruit	polished shine	matte and dull (くすん)	[sound:b0cf439700ea.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぴかぴか	ぴかぴか	Sparkling clean.	Pristine bright	onomatopoeia	gitaigo: brilliantly clean sparkling — newly polished surface, pristine shoes	brilliant shine	tarnished dark (くらい)	[sound:ab1f927845ce.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ねばねば	ねばねば	Sticky/gooey.	Adhesive texture	onomatopoeia	gitaigo: sticky viscous adhesion — natto, wet clay; reluctant surface separation	viscous stickiness	smooth and slick (つるん)	[sound:74cf35cb5430.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
べたべた	べたべた	Tacky/oily.	Unpleasant stickiness	onomatopoeia	gitaigo: unpleasantly tacky clingy — sweaty skin, spilled syrup; invasive stickiness	greasy residue	clean and dry (さっぱり)	[sound:805ecc04aa97.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ふさふさ	ふさふさ	Bushy/thick.	Dense growth	onomatopoeia	gitaigo: thick lush dense fullness — abundant hair, foliage, tail	thick abundance	sparse and thin (すかすか)	[sound:911724639a66.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
かちかち	かちかち	Hard/rigid.	Solid state	onomatopoeia	gitaigo: hard rigid unyielding — frozen food, dry clay, tense muscles	rock-hard	soft and squishy (ふにゃふにゃ)	[sound:a1b440620dcd.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぎゅうぎゅう	ぎゅうぎゅう	Tightly packed.	Crowded state	onomatopoeia	gitaigo: tightly squeezed compressed state — packed box, firm embrace	compressed tightly	spacious and roomy (のびのび)	[sound:a63c3d98ca59.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
