#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::01 - N5 Grammar::Recognition
#
左側に店があります。	ひだりがわにみせがあります。	There is a shop on left.	position-left	左 + に	left side	ひだり	ひだり	[sound:ad9005514e4e.mp3]	
二人の間に座ります。	ふたりのあいだにすわります。	I sit between two people.	position-between	間 + に	between/among	あいだ	あいだ	[sound:bc5571d33cef.mp3]	
隣の人に聞いてください。	となりのひとにきいてください。	Ask person next to you.	position-next	隣 + の	adjacent/next to	となり	となり	[sound:32709d31f27f.mp3]	
下の階はどんなところ？	したのかいはどんなところ？	What kind of place is below?	position-down	下 + の	below/under	した	した	[sound:b9577c9a87b7.mp3]	
午前中は忙しいです。	ごぜんちゅうはいそがしいです。	I am busy morning hours.	time-morning	午前中	morning hours (full)	ごぜんちゅう	ごぜんちゅう	[sound:faf25c1a5cae.mp3]	
午後中働いていました。	ごごちゅうはたらいていました。	I worked afternoon hours.	time-afternoon	午後中	afternoon hours (full)	ごごちゅう	ごごちゅう	[sound:f92aed7587d8.mp3]	
夜中に起きました。	よなかにおきました。	I woke in the night.	time-night	夜中	nighttime/midnight	よなか	よなか	[sound:c4ccc3f82884.mp3]	
年中無休です。	ねんじゅうむきゅうです。	Open year-round no holidays.	time-year	年中	throughout the year	ねんじゅう	ねんじゅう	[sound:ad43df6f00d3.mp3]	
一年間勉強しました。	いちねんかんべんきょうしました。	I studied for one year.	time-duration	一年間	for one year (duration)	いちねんかん	いちねんかん	[sound:64e7792abd54.mp3]	
四月に新学期が始まります。	しがつにしんがっきがはじまります。	New school term begins April.	month	四月	April (irregular: しがつ)	しがつ	しがつ	[sound:2561dcbaf54e.mp3]	
七月七日は七夕です。	しちがつなのかはたなばたです。	July 7th is Tanabata.	month-day	七月・七日	7th month (しちがつ), 7th day	しちがつ、なのか	しちがつ	[sound:5cf7b2c085b6.mp3]	
九月になると涼しくなります。	くがつになるとすずしくなります。	When September comes cool.	month	九月	September (irregular: くがつ)	くがつ	くがつ	[sound:886bd661a36c.mp3]	
一月はお正月です。	いちがつはおしょうがつです。	January is New Year.	month	一月	January (regular: いちがつ)	いちがつ	いちがつ	[sound:ea6eb9046ae9.mp3]	
彼女と付き合って五年です。	かのじょとつきあってごねんです。	I've been dating for 5 years.	counter-duration	time + duration + ねん	counter for duration in years	ねん duration	ねん	[sound:0c8798811ca0.mp3]	
